Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes),Funding Received (USD),Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km)
Western Uganda,Uganda,2254,Western Facility 234,Clinic,74,6,22,4038,9,99374,Yes,No,61.6,16.6
Eastern Ethiopia,Ethiopia,1648,Eastern Facility 235,Health Center,48,16,6,16225,46,107197,No,Yes,84.5,6.6
Eastern Rwanda,Rwanda,8346,Eastern Facility 236,Clinic,9,1,6,13410,45,16252,No,No,66.8,3.3
Eastern Nigeria,Nigeria,6663,Eastern Facility 237,Health Center,92,1,39,6808,11,56522,No,No,87.9,1.3
Central Senegal,Senegal,5113,Central Facility 238,Health Center,92,1,41,5965,8,63126,Yes,Yes,74.3,9.3
Eastern Rwanda,Rwanda,5681,Eastern Facility 239,Health Center,70,19,44,8579,49,96080,No,No,87.9,1.9
Eastern Nigeria,Nigeria,2391,Eastern Facility 240,Hospital,75,9,10,14002,12,50275,Yes,No,92.8,16.0
Eastern Rwanda,Rwanda,3601,Eastern Facility 241,Clinic,29,8,6,17318,18,174848,Yes,No,83.7,11.2
Central Malawi,Malawi,8932,Central Facility 242,Hospital,5,3,8,2316,8,16927,No,Yes,81.3,1.8
Southern Zambia,Zambia,2684,Southern Facility 243,Health Center,8,9,27,15589,30,80459,Yes,No,65.9,6.8
Eastern Nigeria,Nigeria,3877,Eastern Facility 244,Hospital,66,6,9,10328,52,114599,No,Yes,79.7,16.8
Eastern Rwanda,Rwanda,7096,Eastern Facility 245,Health Center,52,14,10,8900,29,118730,No,Yes,80.1,11.2
Northern Ghana,Ghana,9411,Northern Facility 246,Hospital,21,16,46,3882,37,23963,Yes,No,76.3,19.7
Western Uganda,Uganda,6531,Western Facility 247,Health Center,30,5,18,2512,39,108301,No,No,65.2,3.0
Central Malawi,Malawi,2258,Central Facility 248,Health Center,35,1,43,8157,14,174862,Yes,No,91.2,14.4
Central Malawi,Malawi,2711,Central Facility 249,Hospital,14,1,16,14581,51,66898,No,Yes,60.7,12.9
Dar es Salaam,Tanzania,7157,Dar Facility 250,Hospital,48,8,28,11805,52,175326,Yes,No,79.2,15.6
Dar es Salaam,Tanzania,2103,Dar Facility 251,Health Center,14,15,15,15759,12,155957,No,No,62.8,19.1
Eastern Rwanda,Rwanda,2418,Eastern Facility 252,Clinic,98,13,25,7106,15,74972,Yes,Yes,74.8,15.8
Western Uganda,Uganda,3343,Western Facility 253,Health Center,73,8,14,2857,46,110750,No,Yes,66.9,16.8
Eastern Ethiopia,Ethiopia,1432,Eastern Facility 254,Clinic,63,12,49,5798,9,196434,No,Yes,69.0,3.2
Eastern Nigeria,Nigeria,6212,Eastern Facility 255,Health Center,36,7,33,6273,30,24870,No,Yes,72.5,17.9
Central Senegal,Senegal,1233,Central Facility 256,Health Center,85,8,19,3849,39,106640,Yes,No,73.8,16.6
Eastern Nigeria,Nigeria,2283,Eastern Facility 257,Health Center,94,3,12,7965,5,186361,Yes,Yes,62.4,10.9
Western Kenya,Kenya,7376,Western Facility 258,Hospital,41,10,38,12511,14,20493,Yes,Yes,80.8,7.3
Southern Zambia,Zambia,9235,Southern Facility 259,Health Center,80,19,13,6599,19,86493,Yes,No,87.9,18.4
Central Senegal,Senegal,5969,Central Facility 260,Hospital,25,2,7,12003,23,72882,No,No,69.7,5.2
Western Kenya,Kenya,9595,Western Facility 261,Hospital,67,11,34,13720,11,19698,No,No,82.3,2.5
Western Uganda,Uganda,8624,Western Facility 262,Health Center,94,17,28,19978,30,81662,Yes,Yes,60.6,3.7
Western Kenya,Kenya,2438,Western Facility 263,Health Center,44,19,33,11981,27,75171,Yes,No,64.5,19.4
Southern Zambia,Zambia,3702,Southern Facility 264,Health Center,40,14,10,5067,19,113538,No,Yes,80.8,9.5
Central Senegal,Senegal,5908,Central Facility 265,Hospital,73,7,38,19582,26,32851,Yes,No,86.9,16.3
Western Uganda,Uganda,5806,Western Facility 266,Clinic,78,8,23,19328,18,129628,Yes,Yes,94.3,5.6
Eastern Ethiopia,Ethiopia,9323,Eastern Facility 267,Health Center,39,10,41,17457,39,88773,Yes,No,65.9,3.6
Central Malawi,Malawi,6372,Central Facility 268,Clinic,31,10,46,5185,5,41743,No,No,87.9,17.4
Eastern Ethiopia,Ethiopia,5309,Eastern Facility 269,Clinic,45,5,41,13382,48,107271,No,No,70.0,1.6
Southern Zambia,Zambia,7074,Southern Facility 270,Clinic,55,19,10,11001,37,163515,No,Yes,79.4,7.5
Eastern Nigeria,Nigeria,5581,Eastern Facility 271,Clinic,94,17,24,11272,60,57828,No,Yes,60.8,9.5
Eastern Ethiopia,Ethiopia,2098,Eastern Facility 272,Health Center,49,9,9,12327,20,72021,Yes,Yes,82.3,17.1
Eastern Nigeria,Nigeria,6361,Eastern Facility 273,Hospital,69,8,15,14435,36,129517,Yes,No,92.3,15.6
Eastern Rwanda,Rwanda,5926,Eastern Facility 274,Clinic,90,8,15,4778,45,192004,No,Yes,77.6,7.2
Dar es Salaam,Tanzania,2885,Dar Facility 275,Clinic,62,4,50,17421,23,132171,No,Yes,76.5,19.8
Eastern Rwanda,Rwanda,6476,Eastern Facility 276,Clinic,12,20,32,9103,20,38239,Yes,No,71.8,16.4
Eastern Nigeria,Nigeria,6884,Eastern Facility 277,Health Center,6,10,45,15908,35,30026,Yes,Yes,75.8,15.9
Eastern Nigeria,Nigeria,8171,Eastern Facility 278,Hospital,65,12,19,6076,54,91800,No,Yes,69.7,3.3
Southern Zambia,Zambia,5688,Southern Facility 279,Clinic,59,8,47,15553,19,169507,Yes,Yes,80.4,7.2
Eastern Rwanda,Rwanda,5562,Eastern Facility 280,Clinic,59,17,31,2395,18,122909,No,Yes,70.3,1.9
Central Malawi,Malawi,9724,Central Facility 281,Health Center,18,14,27,3309,41,100690,Yes,No,80.9,14.3
Eastern Nigeria,Nigeria,4034,Eastern Facility 282,Health Center,58,5,39,2334,50,71522,No,Yes,86.6,10.8
Eastern Rwanda,Rwanda,7270,Eastern Facility 283,Health Center,90,8,26,16387,35,44197,No,Yes,82.4,19.4
Central Senegal,Senegal,3569,Central Facility 284,Health Center,94,18,9,14078,54,128378,Yes,No,63.0,6.5
Eastern Rwanda,Rwanda,9380,Eastern Facility 285,Hospital,49,1,6,10736,53,54188,Yes,No,73.8,16.9
Northern Ghana,Ghana,7671,Northern Facility 286,Clinic,49,12,25,19327,60,187563,Yes,Yes,66.4,2.3
Dar es Salaam,Tanzania,3908,Dar Facility 287,Health Center,62,14,36,5789,23,198448,Yes,Yes,83.0,15.7
Western Uganda,Uganda,7185,Western Facility 288,Clinic,18,11,5,10672,33,84261,No,Yes,71.0,18.9
Eastern Nigeria,Nigeria,2485,Eastern Facility 289,Health Center,15,15,34,10629,59,148536,No,Yes,92.3,18.2
Dar es Salaam,Tanzania,618,Dar Facility 290,Clinic,88,4,27,17276,48,107264,Yes,No,67.6,5.0
Southern Zambia,Zambia,7762,Southern Facility 291,Health Center,48,3,32,5543,43,155932,No,No,92.2,16.6
Western Uganda,Uganda,3374,Western Facility 292,Clinic,13,13,24,15591,50,161176,Yes,Yes,82.9,17.6
Central Senegal,Senegal,5807,Central Facility 293,Hospital,7,3,31,2180,44,92224,Yes,Yes,73.9,6.3
Western Uganda,Uganda,6377,Western Facility 294,Health Center,88,10,23,12615,47,139623,No,No,81.3,12.7
Eastern Nigeria,Nigeria,2578,Eastern Facility 295,Hospital,74,4,6,4213,49,50391,Yes,No,65.2,16.9
Northern Ghana,Ghana,9264,Northern Facility 296,Hospital,64,12,23,15992,51,48259,No,No,92.5,13.3
Central Malawi,Malawi,8997,Central Facility 297,Clinic,58,7,45,3182,51,78944,Yes,Yes,92.0,17.2
Central Malawi,Malawi,3121,Central Facility 298,Hospital,96,1,14,8422,15,181323,Yes,No,65.7,12.1
Eastern Nigeria,Nigeria,7378,Eastern Facility 299,Health Center,64,2,26,1843,44,88280,Yes,No,61.6,7.7
Dar es Salaam,Tanzania,8770,Dar Facility 300,Hospital,5,18,46,16314,38,56775,Yes,No,89.9,16.8
Eastern Rwanda,Rwanda,3437,Eastern Facility 301,Hospital,57,20,25,17154,54,69267,Yes,No,69.9,3.5
Eastern Nigeria,Nigeria,2472,Eastern Facility 302,Health Center,85,2,40,5945,25,129215,Yes,Yes,73.1,16.2
Eastern Nigeria,Nigeria,6027,Eastern Facility 303,Hospital,18,6,32,10407,58,41058,No,Yes,63.0,16.4
Eastern Rwanda,Rwanda,5932,Eastern Facility 304,Hospital,91,9,8,5762,34,143415,Yes,Yes,77.6,18.9
Eastern Ethiopia,Ethiopia,8418,Eastern Facility 305,Health Center,93,15,17,8060,41,18788,Yes,Yes,88.5,14.9
Western Kenya,Kenya,8019,Western Facility 306,Clinic,20,15,7,17949,53,41442,No,Yes,64.2,13.4
Eastern Nigeria,Nigeria,8324,Eastern Facility 307,Hospital,72,12,43,7910,17,122292,Yes,Yes,65.0,4.3
Eastern Nigeria,Nigeria,9350,Eastern Facility 308,Health Center,26,18,35,19893,59,178048,No,Yes,88.2,9.1
Western Kenya,Kenya,1657,Western Facility 309,Hospital,62,19,50,10140,23,85398,Yes,No,73.0,15.4
Eastern Rwanda,Rwanda,3130,Eastern Facility 310,Clinic,24,3,45,19163,23,150117,No,Yes,69.0,15.9
Central Malawi,Malawi,7302,Central Facility 311,Clinic,73,10,12,7384,12,161178,No,No,63.4,18.2
Southern Zambia,Zambia,9373,Southern Facility 312,Hospital,65,3,18,11369,19,150938,No,No,71.0,5.3
Central Malawi,Malawi,1209,Central Facility 313,Hospital,95,9,5,1023,52,159470,No,Yes,73.4,8.9
Eastern Ethiopia,Ethiopia,1439,Eastern Facility 314,Hospital,40,6,27,10330,51,33620,No,No,67.0,12.2
Western Kenya,Kenya,4466,Western Facility 315,Hospital,15,13,29,1807,38,27266,No,Yes,88.3,5.5
Western Uganda,Uganda,1269,Western Facility 316,Health Center,85,6,43,11357,24,121539,Yes,No,65.3,4.4
Eastern Ethiopia,Ethiopia,2754,Eastern Facility 317,Clinic,17,19,38,8941,40,105694,No,No,75.6,15.5
Dar es Salaam,Tanzania,7740,Dar Facility 318,Clinic,51,6,36,18936,22,13916,Yes,No,64.5,1.5
Eastern Rwanda,Rwanda,6303,Eastern Facility 319,Hospital,63,20,44,17344,11,16638,No,No,89.3,3.0
Eastern Rwanda,Rwanda,944,Eastern Facility 320,Health Center,94,14,24,8883,16,18869,Yes,No,90.3,15.6
Eastern Ethiopia,Ethiopia,1215,Eastern Facility 321,Hospital,51,16,38,13979,60,47796,No,No,68.8,5.1
Central Malawi,Malawi,5913,Central Facility 322,Clinic,68,13,30,15771,19,133163,No,Yes,63.0,1.6
Western Kenya,Kenya,1619,Western Facility 323,Hospital,83,20,34,17714,17,107441,No,Yes,69.1,13.1
Western Kenya,Kenya,9660,Western Facility 324,Hospital,100,18,23,4527,42,11537,No,Yes,72.7,7.9
Eastern Nigeria,Nigeria,2467,Eastern Facility 325,Hospital,100,5,21,3318,53,136111,Yes,No,75.9,19.9
Central Senegal,Senegal,1322,Central Facility 326,Clinic,83,6,42,8946,42,64217,Yes,No,62.9,11.4
Eastern Ethiopia,Ethiopia,5498,Eastern Facility 327,Clinic,13,16,12,8726,15,110008,Yes,No,76.0,7.9
Eastern Ethiopia,Ethiopia,8293,Eastern Facility 328,Hospital,86,18,15,17797,13,100696,Yes,Yes,85.3,14.3
Western Kenya,Kenya,1126,Western Facility 329,Clinic,20,3,9,17298,9,167340,Yes,Yes,74.0,14.1
Eastern Rwanda,Rwanda,3609,Eastern Facility 330,Hospital,89,2,35,12385,50,159708,No,No,70.0,8.1
Eastern Rwanda,Rwanda,8875,Eastern Facility 331,Health Center,78,11,37,10708,37,101976,No,Yes,89.6,13.5
Eastern Rwanda,Rwanda,1812,Eastern Facility 332,Health Center,25,18,43,3855,54,176385,No,No,66.5,5.2
Eastern Nigeria,Nigeria,8796,Eastern Facility 333,Clinic,77,18,8,10918,22,89997,No,No,70.0,2.9
Eastern Nigeria,Nigeria,4013,Eastern Facility 334,Clinic,90,8,6,8077,16,74675,No,Yes,88.9,13.8
Western Kenya,Kenya,7030,Western Facility 335,Clinic,67,7,39,5320,15,152948,Yes,Yes,78.4,11.8
Eastern Nigeria,Nigeria,7871,Eastern Facility 336,Clinic,97,18,32,8960,6,162316,No,Yes,88.8,15.7
Southern Zambia,Zambia,4360,Southern Facility 337,Clinic,78,16,23,3984,57,58835,Yes,No,76.5,6.0
Western Uganda,Uganda,9823,Western Facility 338,Health Center,39,11,36,16565,24,27370,Yes,Yes,87.8,18.1
Dar es Salaam,Tanzania,2546,Dar Facility 339,Health Center,11,4,12,15394,34,142389,No,Yes,93.2,19.4
Eastern Ethiopia,Ethiopia,3526,Eastern Facility 340,Health Center,26,19,38,17123,10,141645,Yes,No,76.2,14.3
Central Malawi,Malawi,7291,Central Facility 341,Health Center,24,18,31,15896,14,93623,Yes,No,78.1,2.2
Northern Ghana,Ghana,8455,Northern Facility 342,Health Center,24,12,43,18266,32,174806,Yes,No,92.0,12.3
Central Malawi,Malawi,9204,Central Facility 343,Hospital,33,9,44,15495,30,29404,Yes,Yes,71.0,17.0
Western Kenya,Kenya,953,Western Facility 344,Clinic,55,14,42,9339,33,65515,No,No,67.8,4.1
Eastern Ethiopia,Ethiopia,9736,Eastern Facility 345,Clinic,38,3,8,8098,39,61413,Yes,Yes,81.8,17.6
Eastern Ethiopia,Ethiopia,4419,Eastern Facility 346,Hospital,71,20,16,8397,46,112664,No,Yes,79.0,19.0
Dar es Salaam,Tanzania,2201,Dar Facility 347,Hospital,14,10,9,11593,17,61495,Yes,Yes,84.1,3.3
Central Senegal,Senegal,3001,Central Facility 348,Clinic,28,18,8,1750,40,82971,Yes,No,94.1,6.3
Central Senegal,Senegal,1804,Central Facility 349,Hospital,90,18,5,16592,59,88454,No,No,85.1,8.3
Northern Ghana,Ghana,8451,Northern Facility 350,Health Center,65,13,28,17409,16,150561,No,Yes,61.5,2.1
Northern Ghana,Ghana,1653,Northern Facility 351,Hospital,40,8,11,10337,14,156582,No,Yes,61.6,17.0
Western Uganda,Uganda,1845,Western Facility 352,Hospital,39,6,29,17049,11,181603,No,Yes,74.3,2.3
Central Senegal,Senegal,8985,Central Facility 353,Hospital,43,16,23,8070,8,128976,No,Yes,89.6,8.4
Eastern Nigeria,Nigeria,8960,Eastern Facility 354,Health Center,63,3,21,15872,24,60109,No,Yes,63.3,17.5
Eastern Ethiopia,Ethiopia,3229,Eastern Facility 355,Hospital,26,12,5,1968,53,104842,Yes,No,89.7,18.1
Southern Zambia,Zambia,4702,Southern Facility 356,Clinic,17,11,25,19721,39,39312,No,No,63.7,10.6
Eastern Ethiopia,Ethiopia,5522,Eastern Facility 357,Hospital,67,2,18,12056,17,92259,Yes,No,82.3,2.0
Eastern Ethiopia,Ethiopia,9900,Eastern Facility 358,Clinic,86,15,28,4097,55,61718,No,Yes,75.7,6.1
Eastern Nigeria,Nigeria,4674,Eastern Facility 359,Health Center,18,16,10,12321,47,173485,Yes,Yes,86.3,1.8
Eastern Ethiopia,Ethiopia,4758,Eastern Facility 360,Health Center,64,2,47,5773,23,106211,No,No,84.4,14.2
Eastern Rwanda,Rwanda,3449,Eastern Facility 361,Health Center,20,18,19,7548,54,66974,Yes,No,77.8,17.6
Eastern Rwanda,Rwanda,6093,Eastern Facility 362,Clinic,57,13,27,17067,6,112761,No,No,64.4,3.9
Central Senegal,Senegal,603,Central Facility 363,Hospital,74,14,44,19830,56,157656,No,Yes,60.8,18.4
Eastern Ethiopia,Ethiopia,2153,Eastern Facility 364,Health Center,79,13,14,17721,57,88492,Yes,No,90.8,7.7
Northern Ghana,Ghana,6613,Northern Facility 365,Hospital,65,9,35,7235,15,188290,Yes,No,68.3,13.4
Central Senegal,Senegal,8365,Central Facility 366,Hospital,23,18,49,6354,38,136245,Yes,Yes,64.8,4.7
Western Uganda,Uganda,2685,Western Facility 367,Hospital,8,7,30,4851,15,131129,No,No,84.1,6.3
Eastern Rwanda,Rwanda,4836,Eastern Facility 368,Health Center,95,14,40,16603,37,89250,Yes,No,65.6,2.0
Dar es Salaam,Tanzania,4436,Dar Facility 369,Hospital,17,10,18,5203,35,48870,No,No,90.5,3.3
Western Uganda,Uganda,7962,Western Facility 370,Hospital,31,2,46,3020,20,53521,No,Yes,79.7,1.4
Eastern Ethiopia,Ethiopia,988,Eastern Facility 371,Hospital,58,6,9,6959,33,182229,No,No,78.6,11.7
Western Kenya,Kenya,6389,Western Facility 372,Health Center,22,6,16,4193,50,24010,No,No,72.5,7.9
Dar es Salaam,Tanzania,9544,Dar Facility 373,Clinic,79,19,49,8318,10,135942,Yes,No,93.7,14.9
Northern Ghana,Ghana,7707,Northern Facility 374,Health Center,36,10,7,11556,25,101553,Yes,Yes,86.2,15.7
Eastern Ethiopia,Ethiopia,5435,Eastern Facility 375,Health Center,86,12,10,9121,21,134664,Yes,Yes,63.1,9.2
Western Uganda,Uganda,7461,Western Facility 376,Hospital,6,19,27,12657,27,144269,No,Yes,78.8,1.9
Eastern Nigeria,Nigeria,4930,Eastern Facility 377,Health Center,79,14,27,7496,10,18972,Yes,No,92.2,6.4
Dar es Salaam,Tanzania,4141,Dar Facility 378,Health Center,30,14,6,9660,34,83989,No,No,91.6,6.9
Southern Zambia,Zambia,1037,Southern Facility 379,Clinic,65,1,49,18543,50,70451,Yes,Yes,68.2,10.0
Eastern Ethiopia,Ethiopia,2640,Eastern Facility 380,Clinic,42,3,39,3774,19,190235,Yes,No,81.5,8.8
Eastern Nigeria,Nigeria,3338,Eastern Facility 381,Health Center,67,18,21,9509,30,143287,No,Yes,71.2,10.8
Southern Zambia,Zambia,8984,Southern Facility 382,Health Center,49,11,49,1780,49,30404,No,No,81.0,15.9
Northern Ghana,Ghana,8354,Northern Facility 383,Hospital,56,15,39,7429,55,78481,No,Yes,64.5,8.3
Northern Ghana,Ghana,7540,Northern Facility 384,Health Center,80,9,8,11274,39,61893,Yes,No,88.2,4.9
Central Malawi,Malawi,2809,Central Facility 385,Health Center,7,6,43,9109,8,39271,Yes,Yes,67.9,18.0
Eastern Ethiopia,Ethiopia,4394,Eastern Facility 386,Hospital,57,1,10,11747,7,114540,Yes,Yes,75.0,5.9
Western Uganda,Uganda,8732,Western Facility 387,Health Center,71,11,16,13649,27,24649,Yes,Yes,85.6,4.7
Central Senegal,Senegal,8701,Central Facility 388,Clinic,87,14,23,7554,39,144395,Yes,Yes,94.6,3.3
Northern Ghana,Ghana,5038,Northern Facility 389,Clinic,53,6,40,11142,12,72074,Yes,Yes,69.4,19.0
Northern Ghana,Ghana,4431,Northern Facility 390,Health Center,59,12,29,14230,25,191340,Yes,Yes,77.2,8.8
Eastern Nigeria,Nigeria,7644,Eastern Facility 391,Hospital,44,18,8,19023,33,22750,No,No,82.4,18.4
Western Uganda,Uganda,7137,Western Facility 392,Clinic,71,10,6,6036,55,59056,Yes,Yes,61.5,3.9
Western Kenya,Kenya,1391,Western Facility 393,Clinic,77,12,34,16160,45,175742,No,Yes,86.8,13.4
Northern Ghana,Ghana,5285,Northern Facility 394,Health Center,82,14,17,14942,35,10264,No,No,73.5,10.3
Dar es Salaam,Tanzania,3475,Dar Facility 395,Hospital,53,13,24,10706,33,132645,Yes,Yes,87.7,10.3
Western Kenya,Kenya,6947,Western Facility 396,Clinic,58,3,33,1208,11,121477,Yes,No,76.3,8.6
Eastern Rwanda,Rwanda,3272,Eastern Facility 397,Hospital,74,14,28,7530,8,155722,No,No,65.8,3.5
Eastern Nigeria,Nigeria,2258,Eastern Facility 398,Hospital,53,20,36,9342,35,191655,Yes,No,61.2,10.2
Eastern Nigeria,Nigeria,4395,Eastern Facility 399,Health Center,35,19,32,2617,46,119680,No,Yes,73.5,2.3
Central Malawi,Malawi,907,Central Facility 400,Health Center,23,13,30,1516,40,127500,No,No,62.9,16.8
Eastern Rwanda,Rwanda,2891,Eastern Facility 401,Clinic,57,11,39,19623,13,119415,No,Yes,69.4,15.6
Southern Zambia,Zambia,4692,Southern Facility 402,Clinic,91,2,18,11965,52,81406,No,No,93.4,13.1
Western Kenya,Kenya,2706,Western Facility 403,Hospital,8,18,21,3156,17,22291,No,Yes,70.2,18.6
Dar es Salaam,Tanzania,4515,Dar Facility 404,Clinic,60,9,33,11383,37,35297,Yes,No,60.0,6.9
Western Uganda,Uganda,3710,Western Facility 405,Health Center,48,5,17,12743,11,177302,No,Yes,94.5,8.1
Eastern Rwanda,Rwanda,4288,Eastern Facility 406,Health Center,26,1,28,18070,43,80524,Yes,No,83.3,9.4
Northern Ghana,Ghana,1245,Northern Facility 407,Clinic,47,8,27,1975,55,170811,No,No,67.9,16.8
Western Uganda,Uganda,8626,Western Facility 408,Clinic,35,17,36,15348,34,118333,No,No,88.7,8.2
Southern Zambia,Zambia,5327,Southern Facility 409,Hospital,10,16,24,10768,22,164191,No,No,63.0,1.8
Southern Zambia,Zambia,5032,Southern Facility 410,Clinic,97,17,49,18245,15,75579,No,No,88.5,18.1
Eastern Rwanda,Rwanda,7460,Eastern Facility 411,Clinic,73,18,11,2709,8,137647,No,No,64.2,15.6
Southern Zambia,Zambia,934,Southern Facility 412,Hospital,76,11,42,4956,29,49710,No,No,94.2,11.7
Western Kenya,Kenya,7017,Western Facility 413,Hospital,6,4,41,15564,47,64639,No,No,77.1,1.5
Western Uganda,Uganda,630,Western Facility 414,Clinic,36,18,20,2797,25,25653,Yes,No,94.7,3.4
Central Senegal,Senegal,7401,Central Facility 415,Clinic,62,5,13,12962,17,26512,No,Yes,67.1,13.3
Southern Zambia,Zambia,6248,Southern Facility 416,Health Center,63,10,30,15394,35,149620,No,Yes,77.6,7.8
Southern Zambia,Zambia,6781,Southern Facility 417,Clinic,96,11,46,13356,36,152271,No,No,91.7,14.7
Southern Zambia,Zambia,9355,Southern Facility 418,Health Center,18,15,28,1082,29,56779,Yes,Yes,75.1,15.2
Eastern Nigeria,Nigeria,3144,Eastern Facility 419,Clinic,21,16,36,12331,25,132583,Yes,Yes,92.8,8.8
Western Kenya,Kenya,6113,Western Facility 420,Clinic,78,19,24,4514,44,189749,Yes,Yes,80.2,17.9
Western Uganda,Uganda,5626,Western Facility 421,Hospital,99,13,11,3855,11,107469,Yes,Yes,84.1,6.0
Central Senegal,Senegal,1890,Central Facility 422,Health Center,37,2,7,10758,54,165161,No,No,93.7,15.5
Western Kenya,Kenya,9840,Western Facility 423,Clinic,82,10,39,8464,45,184870,Yes,No,73.1,17.1
Northern Ghana,Ghana,5146,Northern Facility 424,Health Center,45,20,44,7054,56,190763,Yes,No,93.8,12.8
Western Uganda,Uganda,4020,Western Facility 425,Health Center,9,11,40,4781,60,148215,No,Yes,68.2,14.9
Dar es Salaam,Tanzania,7993,Dar Facility 426,Hospital,81,4,38,11892,51,63035,No,No,74.2,19.5
Eastern Rwanda,Rwanda,9986,Eastern Facility 427,Hospital,56,20,18,12213,23,181514,Yes,Yes,75.3,5.5
Eastern Rwanda,Rwanda,9784,Eastern Facility 428,Clinic,23,8,44,2812,34,89014,Yes,Yes,64.3,8.4
Eastern Ethiopia,Ethiopia,7072,Eastern Facility 429,Health Center,50,8,9,5117,8,22663,No,Yes,69.7,6.3
Western Uganda,Uganda,3867,Western Facility 430,Clinic,89,19,26,16532,26,106290,No,Yes,79.3,15.4
Eastern Rwanda,Rwanda,7224,Eastern Facility 431,Health Center,13,5,26,2305,11,101522,No,Yes,60.8,4.1
Western Uganda,Uganda,9165,Western Facility 432,Hospital,30,1,25,10501,56,72000,No,Yes,70.1,9.1
Central Senegal,Senegal,7816,Central Facility 433,Health Center,53,10,5,6337,47,60766,No,No,74.2,5.0
Western Uganda,Uganda,8487,Western Facility 434,Clinic,25,11,23,12052,54,196157,No,Yes,76.8,7.1
Eastern Ethiopia,Ethiopia,8370,Eastern Facility 435,Clinic,85,17,34,16434,27,35511,Yes,Yes,68.6,15.4
Central Senegal,Senegal,885,Central Facility 436,Clinic,39,2,47,11000,46,81993,No,Yes,85.2,7.7
Southern Zambia,Zambia,6155,Southern Facility 437,Health Center,11,3,34,11840,47,92550,No,Yes,60.9,2.2
Central Senegal,Senegal,7487,Central Facility 438,Health Center,6,20,20,12442,9,126588,No,Yes,93.4,7.4
Central Senegal,Senegal,3409,Central Facility 439,Health Center,94,11,23,19842,28,28170,No,No,61.2,16.0
Eastern Ethiopia,Ethiopia,4946,Eastern Facility 440,Health Center,90,4,8,16160,42,86457,No,No,70.4,14.9
Western Kenya,Kenya,3331,Western Facility 441,Clinic,15,15,10,6983,55,185538,Yes,Yes,81.8,15.1
Eastern Rwanda,Rwanda,1328,Eastern Facility 442,Hospital,7,12,15,18870,20,75064,Yes,Yes,83.2,1.7
Southern Zambia,Zambia,5901,Southern Facility 443,Health Center,26,2,17,13480,10,162379,Yes,Yes,82.9,4.0
Central Malawi,Malawi,3510,Central Facility 444,Health Center,57,16,39,5938,27,142777,No,No,70.2,14.9
Dar es Salaam,Tanzania,7941,Dar Facility 445,Hospital,92,19,28,8251,33,80651,Yes,No,92.2,2.4
Central Senegal,Senegal,9995,Central Facility 446,Clinic,85,5,34,15689,13,50013,Yes,Yes,94.3,2.9
Western Uganda,Uganda,1696,Western Facility 447,Health Center,17,10,29,10553,32,17557,No,No,77.8,1.8
Northern Ghana,Ghana,9719,Northern Facility 448,Clinic,89,20,25,8320,17,164334,No,No,78.7,3.0
Dar es Salaam,Tanzania,9426,Dar Facility 449,Clinic,16,2,22,9150,49,106975,Yes,Yes,64.8,2.5
Eastern Rwanda,Rwanda,1344,Eastern Facility 450,Clinic,13,4,16,4319,11,82494,No,No,72.8,16.8
Western Uganda,Uganda,7002,Western Facility 451,Health Center,65,8,49,15589,36,68158,No,No,62.8,7.8
Western Kenya,Kenya,5565,Western Facility 452,Health Center,58,18,42,14541,24,47516,No,No,68.5,5.7
Western Kenya,Kenya,3388,Western Facility 453,Health Center,23,11,21,17728,27,138898,Yes,Yes,75.9,5.3
Eastern Rwanda,Rwanda,3625,Eastern Facility 454,Clinic,38,12,20,16694,53,11486,Yes,No,81.3,15.7
Central Senegal,Senegal,9619,Central Facility 455,Clinic,42,19,6,16028,34,100741,No,No,85.9,14.6
